"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Adventure","Family","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","History","Documentary","Music","Animation","Biography","Musical","Sport","Western","War"
2001,5.7,46000000,160648493,93607673,1,90185031.2,2.636228852,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7.8,100000000,267985456,130164645,1,137737171.25,2.3053862896482,4760729,0.586558709090909,245678525.6,2.66800790681396,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2001,5.9,35000000,13264986,13264986,-1,31102320,1.84667133605072,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,6.4,30000000,286500000,145096820,1,6922388.2,0.771236417333333,0,1,5516708,0.22066832,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7.6,8000000,28674417,15070285,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,7.6,2000000,8685632,6003587,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003,6.2,55000000,126425115,104354205,1,117347017.857143,4.9311283757326,286500000,9.55,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8.2,2000000,20883834,5383834,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,5,14000000,30443277,16298046,1,78275935.75,4.54047985553565,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,7.3,7500000,29652736,12574914,1,142346940.428571,2.48693153044218,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,6.3,4000000,75078,75078,-1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7.1,30000000,18535575,8535575,-1,118677660.210526,2.5828640966799,0,1,88453084,3.39866150285714,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,4.5,25000000,70326393,31526393,1,0,1,51871569.6666667,0.846461266819923,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7.3,25000000,89366354,84136909,1,75513048.6976744,2.63680499850155,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5.6,38000000,29544532,24044532,-1,49743885.2,2.00677732529954,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,6.7,150000000,490875846,133375846,1,162750695.357143,1.8952866784776,336492954,3.22401359816066,274217372.714286,2.55810131540456,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,6.2,56000000,195660942,135560942,1,94135326.8888889,4.84104695111839,0,1,166307945,1.97985648809524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.1,30000000,17865209,10965209,-1,31354295.5,0.915801831944445,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2002,7.3,12500000,23367586,21078145,-1,57239779.3333333,2.11980990833333,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,7.8,40000000,121032272,50866635,1,0,1,0,1,622420667,24.89682668,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,6.8,20000000,27735474,20211394,-1,53650740,1.22408013,0,1,10557291,1.7595485,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2006,5.2,12000000,22978953,18597342,-1,73458233.0588235,2.48937876919458,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,6.6,15500000,1693000,1693000,-1,70133687,1.65025046062271,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2005,4.4,20000000,97918663,82674398,1,56388594.75,3.49673111805888,0,1,88164696.5,2.33887104094828,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.8,110000000,72004159,24004159,-1,78584524.7619048,2.57114015544725,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.4,65000000,44093014,19551067,-1,110167431.47619,2.40904147162997,0,1,177665672,1.19238706040268,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,5.8,17000000,21170563,21170563,-1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.7,90000000,186049020,84052762,1,32218510.75,1.24566939615385,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,7.8,30000000,130200290,50980159,1,5560897.6,1.9902244,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7.6,25000000,66015869,31664162,1,88123785.1111111,3.37891442244314,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,6.2,63000000,292738626,213117789,1,122953198.5,3.20906397,0,1,304599899,5.53817998181818,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,6.6,130000000,215080810,49554002,-1,0,1,217670152,3.62783586666667,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,6.6,7000000,2703821,2062066,-1,156330413,1.91968143608795,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2000,5.4,40000000,90717684,37752931,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.9,425000000,2783918982,760507625,1,38728487.8888889,1.98407569487179,433058296,2.54740174117647,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,6.5,8600000,30757745,14373825,1,72380324.7272727,1.98551459740202,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2009,7.1,21000000,10108016,9451946,-1,39853390.2857143,1.50175128696927,0,1,88256250,1.55730191666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.5,20000000,132121212,34302837,1,89972964,1.67422772532704,40275729.5,6.712649125,40275729.5,6.712649125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.3,16000000,28734552,28734552,-1,0,1,0,1,107190108,2.02196128047082,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,6.1,30000000,64391484,60494212,1,64601744.7777778,3.34457961213881,292738626,4.64664485714286,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,5.5,45000000,70216497,22532572,-1,95336690,2.89664348350911,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,6.5,130000000,272940870,138540870,1,59382191,1.73251637930973,43057552,2.691097,449239855,2.9652795709571,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,7.2,18000000,60063017,60060328,1,23057946.8,2.97905187266667,0,1,8761608,1.59301963636364,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,3.6,70000000,14294842,14294842,-1,109508165.25,2.08055223232046,4221341,0.228180594594595,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,6.4,10000000,2373937,2185266,-1,0,1,0,1,38236338,12.745446,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,6.6,75000000,71523271,41523271,-1,75638923.2,2.68155190897797,0,1,75078,0.0187695,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,5.4,45000000,46598133,15298133,-1,91644256.7777778,1.59132975150024,43809087,3.44135407142857,53774833,3.3609270625,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
