"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Biography","History","Adventure","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","Sport","Documentary","Music","Animation","Family","Musical","War","Western"
2013,7.8,1.2e+07,87508247,15323921,1,143348409.6875,3.47602942664106,247967903,5.51039784444444,247967903,5.51039784444444,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,6,67500000,115119139,37519139,-1,90727978.25,2.00593445028403,0,1,342416460,4.5655528,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2007,7.5,4.5e+07,29367143,24343673,-1,13645551.1428571,1.95471781538462,177665672,1.19238706040268,55710675,4.64255625,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2012,6.5,1.2e+07,82497035,70012847,1,227190030.555556,1.96519067916049,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2009,7.3,3200000,2828590,2277396,-1,46948128.5714286,1.74497677272109,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,6.4,4e+06,384244,294244,-1,15505203.5,1.21985465151515,1554328,0.0829260232258065,1554328,0.0829260232258065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6.8,9800000,17144025,16044025,-1,2797855.75,2.61523716666667,0,1,169863226,9.70647005714286,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,1.3e+08,244373198,60522097,-1,247622622.375,3.34597424299036,158750817,1.9843852125,244362034.6,3.03877599761211,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2004,6.3,5.7e+07,38329114,28328132,-1,127015846,2.46964661037113,0,1,276940626,3.25357569059829,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2003,5,2.5e+07,58240458,47545060,1,13093818.75,1.62292125,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,7.2,7e+07,38992292,619423,-1,92805687.8181818,1.6009341484675,137557880.666667,5.41530668767507,209947037,12.3498257058824,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.5,8e+06,18959424,18848430,1,56794838.6,1.81836358361345,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.7,7500000,3014696,3014696,-1,170572040.857143,2.68511610408964,0,1,5010509,0.715787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,5.2,4e+07,9351567,659210,-1,249676909.2,2.89178057672605,0,1,92094360,9.209436,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2004,5.5,1.55e+08,167297191,34297191,-1,109683659.923077,2.04887065495905,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,6.2,4e+07,35195939,13395939,-1,51389126.8333333,1.14528119793417,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.7,1.09e+08,87683966,58183966,-1,68661045.75,1.48043665691489,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,6.5,2e+08,1024391110,334191110,1,228010412.347826,2.94099365882886,0,1,320034561,2.84950152603175,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2009,5.4,4.5e+07,59551283,25200412,-1,86403923.0645161,18.618953860802,556559566,7.42079421333333,37803424.5,1.28451123518519,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,4.8,1.5e+07,40127259,33862903,1,185696477.6,5.20029975163982,70187088,2.00534537142857,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,6.3,2e+07,645024,582024,-1,209439696.571429,1.86566807917727,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2002,7.6,9e+06,184255,184255,-1,1079124.25,0.929854041666667,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,6.2,5.5e+07,9521458,7221458,-1,99545919.2631579,2.17476756833152,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,7,1e+06,703020,549666,-1,3054841.75,0.87219367,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2.3,2e+07,8178569,5178569,-1,10951199.6,0.736953264398827,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.3,2.8e+07,105159085,74058698,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2004,5.9,4.2e+07,173044410,88073507,1,76476211.4444444,2.25455829801381,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,5.3,5.5e+07,360578644,217326974,1,112704050.428571,1.85762141597735,0,1,17292381,1.44103175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2009,4.4,7e+07,443483213,219614612,1,213780005.6,3.69412985921445,248122293.75,3.35420639597902,60279822,0.861140314285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2009,5.8,4e+07,19756077,14279575,-1,149028638.625,2.80254840702471,0,1,22109853.3333333,8.57564519551009,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5.7,4.6e+07,160648493,93607673,1,36309562.5,1.6577390625,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7.8,1e+08,267985456,130164645,1,104264865.153846,1.98428928816445,4760729,0.586558709090909,192677205.75,2.22412686167279,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,7.5,4e+07,248960584,150117807,1,211823122.222222,3.81829698190807,100400879,4.27077242170274,125538166,7.82881096897547,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,5.9,3.5e+07,13264986,13264986,-1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2001,6.4,3e+07,286500000,145096820,1,1379177,0.80516708,0,1,5516708,0.22066832,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,6.8,5e+07,235385481,56758835,1,126305498.3,4.08040436219481,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7.6,2e+06,8685632,6003587,1,18911023.9,2.74251334078947,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,6.2,5.5e+07,126425115,104354205,1,152564903,5.1231113349359,286500000,9.55,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5.6,1500000,184705,184705,-1,0,1,3064356,0.547206428571429,3064356,0.547206428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,7.8,9700000,25915719,6738954,1,5008678.25,0.977667193181818,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,1.4e+07,30443277,16298046,1,82651289.3333333,5.48590904327831,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,7.3,7500000,29652736,12574914,1,140654706.666667,1.88475116551587,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7.1,3e+07,18535575,8535575,-1,132034845.9375,2.61749962529845,0,1,24405825,0.697309285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,4.5,2.5e+07,70326393,31526393,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,7.3,2.5e+07,89366354,84136909,1,87818040.4857143,2.53102159717203,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,5.6,3.8e+07,29544532,24044532,-1,23682132.25,1.5957904375,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,6.7,1.5e+08,490875846,133375846,1,162750695.357143,1.8952866784776,336492954,3.22401359816066,262396701,2.51678025686088,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2003,6.2,5.6e+07,195660942,135560942,1,61596620.3333333,5.94734480556744,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7.3,4200000,8078683,1044039,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2012,6.6,4.9e+07,70735540,12816367,-1,109360929,2.43640468086229,0,1,77999378.6666667,2.38634511111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.9,27500000,15815509,4463292,-1,10516026.25,1.05045789285714,18932117,1.26214113333333,672363994.5,4.1962991475,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,7,175000,1781194,1321194,1,46820278.75,5.432027875,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,7.3,8e+06,18505706,3205706,1,48144543.1666667,1.56396177641149,6769055,0.617229797979798,6769055,0.617229797979798,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.1,3e+07,17865209,10965209,-1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2002,7.3,12500000,23367586,21078145,-1,41346398.6,1.63239400333333,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.8,4e+07,121032272,50866635,1,0,1,0,1,622420667,24.89682668,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,5.2,5e+06,26517819,17686929,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2008,6.8,2e+07,27735474,20211394,-1,53650740,1.22408013,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2006,5.2,1.2e+07,22978953,18597342,-1,83091632.7674419,2.37584786498553,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2002,6.6,15500000,1693000,1693000,-1,79417014.5,1.7681668525641,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005,4.4,2e+07,97918663,82674398,1,31516729.3333333,2.37263166574074,0,1,116898028,3.653063375,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7.8,44500000,221300694,136025503,1,138147215.588235,5.56590409423912,0,1,152566881,4.12342921621622,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,5.8,1.1e+08,72004159,24004159,-1,92603955.3939394,2.48171717751137,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,7.1,8.5e+07,147624649,46462469,-1,141369929.944444,2.78313163165363,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,6.4,6.5e+07,44093014,19551067,-1,121647687.888889,2.62492787743404,0,1,177665672,1.19238706040268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2006,5.8,1.7e+07,21170563,21170563,-1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,6.7,9e+07,186049020,84052762,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2007,7.8,3e+07,130200290,50980159,1,4409.75,0.7511024375,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6.6,1.3e+07,5406422,1024175,-1,4495639.8,0.994194826096491,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2007,7.6,2.5e+07,66015869,31664162,1,88123785.1111111,3.37891442244314,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,7.4,2.5e+07,50738733,37738733,1,138012530.25,2.68357133312989,7006708,1.751677,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,6.2,6.3e+07,292738626,213117789,1,122953198.5,3.20906397,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008,6.6,1.3e+08,215080810,49554002,-1,0,1,217670152,3.62783586666667,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,6.6,7e+06,2703821,2062066,-1,234055909.25,2.38712935940391,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2009,7.9,4.25e+08,2783918982,760507625,1,38728487.8888889,1.98407569487179,433058296,2.54740174117647,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2007,6.5,8600000,30757745,14373825,1,72380324.7272727,1.98551459740202,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2009,7.1,2.1e+07,10108016,9451946,-1,43046386.5,1.17717058479748,0,1,88256250,1.55730191666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.5,2e+07,132121212,34302837,1,93756743.8333333,1.44234998577096,59667625,2.98338125,59667625,2.98338125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.3,1.6e+07,28734552,28734552,-1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,6.1,3e+07,64391484,60494212,1,78198819.2857143,4.11712417417847,292738626,4.64664485714286,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,5.5,4.5e+07,70216497,22532572,-1,94422124.5,1.79336964788552,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2003,6.5,1.3e+08,272940870,138540870,1,35874555.5,1.1204491500252,43057552,2.691097,449239855,2.9652795709571,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2003,7.2,1.8e+07,60063017,60060328,1,23057946.8,2.97905187266667,0,1,8761608,1.59301963636364,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,5.7,1.9e+07,216412265,100292856,1,246311805.565217,3.53871718652894,0,1,31957380,1.49739182460317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4.9,8500000,21569509,21569509,1,91494104.8125,3.48789292419581,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,3.6,7e+07,14294842,14294842,-1,35702245.3333333,1.71396391245421,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2001,6.6,7.5e+07,71523271,41523271,-1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,5.4,4.5e+07,46598133,15298133,-1,87510306,1.53042125585444,43809087,3.44135407142857,53774833,3.3609270625,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2002,6.3,1.2e+07,77081642,75781642,1,46797665,3.25428566200466,22391450,1.72241923076923,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
